riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs11187334-T	2E-108	-	0.4597	-	"0.0141 unit decrease"	[0.013-0.015]	RPL17P34,XRCC6P1	Height	"body height"	-	GCST90245848	10:93225744	36224396	"Yengo L"
rs11187345-A	3E-37	-	0.0794	-	"0.0145 unit increase"	[0.012-0.017]	RPL17P34,XRCC6P1	Height	"body height"	-	GCST90245848	10:93247220	36224396	"Yengo L"
rs11597398-A	9E-60	-	0.1129	-	"0.0166 unit increase"	[0.015-0.019]	RPL17P34,MYOF	Height	"body height"	-	GCST90245848	10:93303349	36224396	"Yengo L"
rs1889931-C	9E-37	-	0.2561	-	"0.0094 unit increase"	[0.008-0.0108]	CEP55,FFAR4	Height	"body height"	-	GCST90245848	10:93560683	36224396	"Yengo L"
rs740746-G	5E-65	-	0.2713	-	"0.0118 unit decrease"	[0.01-0.013]	NHLRC2,ADRB1	Height	"body height"	-	GCST90245848	10:114033028	36224396	"Yengo L"
rs686239-T	5E-10	-	0.1505	-	"0.0055 unit decrease"	[0.0037-0.0073]	ADRB1,RNU6-709P	Height	"body height"	-	GCST90245848	10:114085190	36224396	"Yengo L"
rs10885543-G	1E-8	-	0.1994	-	"0.0045 unit decrease"	[0.0029-0.0061]	VWA2	Height	"body height"	-	GCST90245848	10:114287677	36224396	"Yengo L"
rs4751649-G	3E-52	-	0.6083	-	"0.0099 unit increase"	[0.0087-0.0111]	AFAP1L2	Height	"body height"	-	GCST90245848	10:114372704	36224396	"Yengo L"
rs11196723-C	3E-17	-	0.3917	-	"0.0054 unit decrease"	[0.0042-0.0066]	AFAP1L2	Height	"body height"	-	GCST90245848	10:114395959	36224396	"Yengo L"
rs1981663-T	6E-19	-	0.3659	-	"0.0058 unit increase"	[0.0044-0.0072]	ATRNL1	Height	"body height"	-	GCST90245848	10:115673501	36224396	"Yengo L"
rs10749196-C	2E-12	-	0.4173	-	"0.0045 unit decrease"	[0.0033-0.0057]	GFRA1	Height	"body height"	-	GCST90245848	10:116173561	36224396	"Yengo L"
rs2694767-A	4E-29	-	0.4698	-	"0.0069 unit increase"	[0.0057-0.0081]	GFRA1	Height	"body height"	-	GCST90245848	10:116208818	36224396	"Yengo L"
rs10787728-C	1E-6	-	0.1987	-	"0.004 unit increase"	[0.0024-0.0056]	HSPA12A,RPL5P27	Height	"body height"	-	GCST90245848	10:116750088	36224396	"Yengo L"
rs740600-C	2E-12	-	0.6991	-	"0.0049 unit decrease"	[0.0035-0.0063]	SHTN1,ENO4	Height	"body height"	-	GCST90245848	10:116892371	36224396	"Yengo L"
rs716183-T	6E-14	-	0.5491	-	"0.0047 unit decrease"	[0.0035-0.0059]	MIR3663HG	Height	"body height"	-	GCST90245848	10:117144984	36224396	"Yengo L"
rs363294-T	1E-14	-	0.0516	-	"0.0107 unit decrease"	[0.008-0.0134]	PDZD8	Height	"body height"	-	GCST90245848	10:117284043	36224396	"Yengo L"
rs2803810-C	4E-23	-	0.1938	-	"0.0081 unit increase"	[0.0065-0.0097]	PDZD8	Height	"body height"	-	GCST90245848	10:117302364	36224396	"Yengo L"
rs4751628-T	1E-23	-	0.6074	-	"0.0064 unit decrease"	[0.0052-0.0076]	EMX2,LINC02674	Height	"body height"	-	GCST90245848	10:117556314	36224396	"Yengo L"
rs9919453-G	1E-27	-	0.4291	-	"0.0068 unit decrease"	[0.0056-0.008]	LINC02944	Height	"body height"	-	GCST90245848	10:118265079	36224396	"Yengo L"
rs4752161-T	8E-21	-	0.504	-	"0.006 unit decrease"	[0.0048-0.0072]	LINC00867,SLC25A18P1	Height	"body height"	-	GCST90245848	10:118453652	36224396	"Yengo L"
rs1247123-C	6E-60	-	0.501	-	"0.0101 unit decrease"	[0.0089-0.0113]	CACUL1,TOMM22P5	Height	"body height"	-	GCST90245848	10:118667288	36224396	"Yengo L"
rs17097967-C	2E-13	-	0.0152	-	"0.0203 unit increase"	[0.015-0.026]	CACUL1	Height	"body height"	-	GCST90245848	10:118697400	36224396	"Yengo L"
rs11598125-C	3E-9	-	0.6506	-	"0.0039 unit decrease"	[0.0025-0.0053]	CACUL1	Height	"body height"	-	GCST90245848	10:118730878	36224396	"Yengo L"
rs4751691-G	6E-6	-	0.5548	-	"0.0028 unit decrease"	[0.0016-0.004]	DENND10,EIF3A	Height	"body height"	-	GCST90245848	10:119090652	36224396	"Yengo L"
rs10886416-A	1E-104	-	0.1052	-	"0.0219 unit increase"	[0.02-0.024]	PRDX3,GRK5	Height	"body height"	-	GCST90245848	10:119193162	36224396	"Yengo L"
rs4752269-T	3E-34	-	0.284	-	"0.0084 unit increase"	[0.007-0.0098]	GRK5	Height	"body height"	-	GCST90245848	10:119278440	36224396	"Yengo L"
rs291979-A	4E-298	-	0.2151	-	"0.0276 unit increase"	[0.026-0.029]	GRK5	Height	"body height"	-	GCST90245848	10:119370285	36224396	"Yengo L"
rs17099139-G	1E-108	-	0.2529	-	"0.0158 unit decrease"	[0.014-0.017]	BAG3	Height	"body height"	-	GCST90245848	10:119659975	36224396	"Yengo L"
rs10510058-A	1E-13	-	0.0649	-	"0.0094 unit decrease"	[0.0069-0.0119]	INPP5F	Height	"body height"	-	GCST90245848	10:119770053	36224396	"Yengo L"
rs220428-A	4E-12	-	0.1683	-	"0.006 unit increase"	[0.0042-0.0078]	RAB1AP2,RPL7P27	Height	"body height"	-	GCST90245848	6:86147671	36224396	"Yengo L"
rs6932555-T	1E-6	-	0.1194	-	"0.0049 unit increase"	[0.0029-0.0069]	RPL7P27,RAB1AP2	Height	"body height"	-	GCST90245848	6:86152232	36224396	"Yengo L"
rs2026899-A	3E-19	-	0.4947	-	"0.0055 unit increase"	[0.0043-0.0067]	RN7SL643P,HTR1E	Height	"body height"	-	GCST90245848	6:86788977	36224396	"Yengo L"
rs9362399-G	1E-30	-	0.1008	-	"0.0119 unit decrease"	[0.0099-0.0139]	ZNF292	Height	"body height"	-	GCST90245848	6:87164671	36224396	"Yengo L"
rs10498960-T	3E-10	-	0.0469	-	"0.0095 unit increase"	[0.0066-0.0124]	GJB7	Height	"body height"	-	GCST90245848	6:87298450	36224396	"Yengo L"
rs11968732-G	3E-12	-	0.1608	-	"0.0058 unit decrease"	[0.0042-0.0074]	SPACA1,RN7SL183P	Height	"body height"	-	GCST90245848	6:87998034	36224396	"Yengo L"
rs1796723-C	2E-40	-	0.2083	-	"0.0106 unit increase"	[0.009-0.0122]	PM20D2,SRSF12	Height	"body height"	-	GCST90245848	6:89124301	36224396	"Yengo L"
rs1065657-G	3E-27	-	0.5134	-	"0.0068 unit decrease"	[0.0056-0.008]	UBE2J1	Height	"body height"	-	GCST90245848	6:89337294	36224396	"Yengo L"
rs9359856-C	8E-19	-	0.2476	-	"0.0065 unit increase"	[0.0051-0.0079]	ANKRD6,LYRM2	Height	"body height"	-	GCST90245848	6:89598266	36224396	"Yengo L"
rs157694-T	4E-24	-	0.325	-	"0.0067 unit increase"	[0.0053-0.0081]	MIR4464,MAP3K7	Height	"body height"	-	GCST90245848	6:90509288	36224396	"Yengo L"
rs632559-G	1E-12	-	0.322	-	"0.0047 unit increase"	[0.0033-0.0061]	LINC02531,U3	Height	"body height"	-	GCST90245848	6:92419244	36224396	"Yengo L"
rs345713-A	3E-9	-	0.1228	-	"0.0057 unit decrease"	[0.0037-0.0077]	EPHA7	Height	"body height"	-	GCST90245848	6:93272406	36224396	"Yengo L"
rs1352378-T	5E-8	-	0.4367	-	"0.0034 unit increase"	[0.0022-0.0046]	MTCYBP36,EPHA7	Height	"body height"	-	GCST90245848	6:93969968	36224396	"Yengo L"
rs13205436-C	4E-43	-	0.0765	-	"0.0159 unit increase"	[0.014-0.018]	MANEA	Height	"body height"	-	GCST90245848	6:95586174	36224396	"Yengo L"
rs9481950-T	4E-24	-	0.3521	-	"0.0066 unit decrease"	[0.0052-0.008]	MANEA,KRT18P50	Height	"body height"	-	GCST90245848	6:95623212	36224396	"Yengo L"
rs652797-T	5E-11	-	0.0688	-	"0.008 unit decrease"	[0.0056-0.0104]	FUT9,KRT18P50	Height	"body height"	-	GCST90245848	6:96007923	36224396	"Yengo L"
rs4363042-C	5E-15	-	0.3057	-	"0.0055 unit increase"	[0.0041-0.0069]	MMS22L	Height	"body height"	-	GCST90245848	6:97246924	36224396	"Yengo L"
rs9375104-C	3E-9	-	0.4188	-	"0.0037 unit increase"	[0.0025-0.0049]	EIF4EBP2P3,MIR2113	Height	"body height"	-	GCST90245848	6:98039180	36224396	"Yengo L"
rs3923049-C	5E-11	-	0.3712	-	"0.0043 unit increase"	[0.0029-0.0057]	EIF4EBP2P3,POU3F2	Height	"body height"	-	GCST90245848	6:98785572	36224396	"Yengo L"
rs12110525-A	2E-35	-	0.2176	-	"0.0092 unit decrease"	[0.0078-0.0106]	BDH2P1,FAXC	Height	"body height"	-	GCST90245848	6:99181376	36224396	"Yengo L"
rs9402791-C	2E-17	-	0.2109	-	"0.0065 unit increase"	[0.0049-0.0081]	USP45	Height	"body height"	-	GCST90245848	6:99435818	36224396	"Yengo L"
rs2894889-T	1E-136	-	0.3356	-	"0.0163 unit increase"	[0.015-0.018]	MCHR2,Y_RNA	Height	"body height"	-	GCST90245848	6:99714064	36224396	"Yengo L"
rs6917474-T	4E-15	-	0.3252	-	"0.0052 unit increase"	[0.0038-0.0066]	MCHR2,Y_RNA	Height	"body height"	-	GCST90245848	6:99728884	36224396	"Yengo L"
rs6933641-C	5E-35	-	0.5238	-	"0.0079 unit increase"	[0.0067-0.0091]	Y_RNA,MCHR2	Height	"body height"	-	GCST90245848	6:99816739	36224396	"Yengo L"
rs17789218-C	1E-20	-	0.1947	-	"0.0106 unit increase"	[0.0084-0.0128]	SIM1,PRDX2P4	Height	"body height"	-	GCST90245848	6:100152221	36224396	"Yengo L"
rs3734651-C	9E-33	-	0.1451	-	"0.0105 unit increase"	[0.0087-0.0123]	ARMC2	Height	"body height"	-	GCST90245848	6:108973837	36224396	"Yengo L"
rs11202112-G	1E-19	-	0.0929	-	"0.0099 unit decrease"	[0.0077-0.0121]	LINC00857	Height	"body height"	-	GCST90245848	10:80209147	36224396	"Yengo L"
rs17617406-G	8E-35	-	0.1261	-	"0.0116 unit increase"	[0.0098-0.0134]	PRXL2A	Height	"body height"	-	GCST90245848	10:80414800	36224396	"Yengo L"
rs975853-T	5E-22	-	0.2381	-	"0.0071 unit increase"	[0.0057-0.0085]	NRG3,RPA2P2	Height	"body height"	-	GCST90245848	10:81415906	36224396	"Yengo L"
rs1317007-C	1E-12	-	0.6841	-	"0.0049 unit decrease"	[0.0035-0.0063]	NRG3	Height	"body height"	-	GCST90245848	10:82389500	36224396	"Yengo L"
rs1923580-C	1E-11	-	0.148	-	"0.0058 unit increase"	[0.004-0.0076]	NRG3	Height	"body height"	-	GCST90245848	10:82975689	36224396	"Yengo L"
rs10887315-C	4E-22	-	0.2192	-	"0.0073 unit increase"	[0.0057-0.0089]	CCSER2,RPS3AP5	Height	"body height"	-	GCST90245848	10:84519497	36224396	"Yengo L"
rs9421478-G	6E-35	-	0.2948	-	"0.0083 unit increase"	[0.0069-0.0097]	RPS3AP5,LINC01519	Height	"body height"	-	GCST90245848	10:84789196	36224396	"Yengo L"
rs11201527-A	5E-9	-	0.2467	-	"0.0043 unit increase"	[0.0029-0.0057]	LINC01519,LINC02647	Height	"body height"	-	GCST90245848	10:85263131	36224396	"Yengo L"
rs7914829-T	8E-13	-	0.4951	-	"0.0045 unit decrease"	[0.0033-0.0057]	GRID1	Height	"body height"	-	GCST90245848	10:85709291	36224396	"Yengo L"
rs2607863-T	6E-39	-	0.0434	-	"0.0201 unit increase"	[0.017-0.023]	GRID1	Height	"body height"	-	GCST90245848	10:86264686	36224396	"Yengo L"
rs2217224-A	3E-22	-	0.627	-	"0.0064 unit increase"	[0.005-0.0078]	GRID1	Height	"body height"	-	GCST90245848	10:86309659	36224396	"Yengo L"
rs2250515-G	2E-29	-	0.4779	-	"0.007 unit decrease"	[0.0058-0.0082]	OPN4,RPL7AP8	Height	"body height"	-	GCST90245848	10:86649135	36224396	"Yengo L"
rs1986382-G	4E-35	-	0.3125	-	"0.0088 unit decrease"	[0.0074-0.0102]	LDB3	Height	"body height"	-	GCST90245848	10:86686497	36224396	"Yengo L"
rs2883420-T	7E-43	-	0.5586	-	"0.0088 unit increase"	[0.0076-0.01]	BMPR1A	Height	"body height"	-	GCST90245848	10:86851365	36224396	"Yengo L"
rs2296063-T	2E-16	-	0.326	-	"0.0054 unit decrease"	[0.004-0.0068]	GLUD1	Height	"body height"	-	GCST90245848	10:87093185	36224396	"Yengo L"
rs10887732-G	3E-36	-	0.5021	-	"0.0078 unit decrease"	[0.0066-0.009]	MINPP1,RPS26P38	Height	"body height"	-	GCST90245848	10:87612476	36224396	"Yengo L"
rs11202505-G	3E-35	-	0.1327	-	"0.0113 unit increase"	[0.0095-0.0131]	PAPSS2	Height	"body height"	-	GCST90245848	10:87685258	36224396	"Yengo L"
rs11816798-C	3E-19	-	0.2955	-	"0.0062 unit decrease"	[0.0048-0.0076]	ATAD1	Height	"body height"	-	GCST90245848	10:87795957	36224396	"Yengo L"
rs2785070-C	1E-120	-	0.4658	-	"0.0145 unit increase"	[0.013-0.016]	MED6P1,PTEN	Height	"body height"	-	GCST90245848	10:88014821	36224396	"Yengo L"
rs534182-T	8E-8	-	0.3394	-	"0.0035 unit decrease"	[0.0023-0.0047]	RNLS,MED6P1	Height	"body height"	-	GCST90245848	10:88051222	36224396	"Yengo L"
rs4405216-C	7E-69	-	0.1516	-	"0.0151 unit increase"	[0.013-0.017]	RNLS,MED6P1	Height	"body height"	-	GCST90245848	10:88060413	36224396	"Yengo L"
rs10509543-C	7E-81	-	0.2663	-	"0.0132 unit decrease"	[0.012-0.015]	RNLS	Height	"body height"	-	GCST90245848	10:88312595	36224396	"Yengo L"
rs1426620-T	2E-35	-	0.2284	-	"0.0094 unit increase"	[0.0078-0.011]	RNLS	Height	"body height"	-	GCST90245848	10:88400841	36224396	"Yengo L"
rs1418481-G	1E-23	-	0.0879	-	"0.0112 unit increase"	[0.009-0.0134]	RNLS	Height	"body height"	-	GCST90245848	10:88460921	36224396	"Yengo L"
rs11818524-G	2E-22	-	0.2375	-	"0.0072 unit decrease"	[0.0058-0.0086]	SORCS3	Height	"body height"	-	GCST90245848	10:104710203	36224396	"Yengo L"
rs4917451-C	4E-14	-	0.5569	-	"0.0048 unit increase"	[0.0036-0.006]	LINC02627	Height	"body height"	-	GCST90245848	10:105809058	36224396	"Yengo L"
rs1676783-A	3E-12	-	0.2523	-	"0.005 unit decrease"	[0.0036-0.0064]	LINC01435,RNA5SP326	Height	"body height"	-	GCST90245848	10:107545643	36224396	"Yengo L"
rs4083576-C	8E-9	-	0.0825	-	"0.0181 unit increase"	[0.012-0.024]	PHB2P1,RNU6-839P	Height	"body height"	-	GCST90245848	10:109390880	36224396	"Yengo L"
rs11195025-T	2E-26	-	0.1073	-	"0.0111 unit increase"	[0.0091-0.0131]	SNRPGP12,MXI1	Height	"body height"	-	GCST90245848	10:110204518	36224396	"Yengo L"
rs1133195-G	9E-27	-	0.06	-	"0.0141 unit decrease"	[0.012-0.017]	MXI1	Height	"body height"	-	GCST90245848	10:110285384	36224396	"Yengo L"
rs1803997-T	1E-8	-	0.0481	-	"0.0087 unit decrease"	[0.0058-0.0116]	MXI1	Height	"body height"	-	GCST90245848	10:110286442	36224396	"Yengo L"
rs4918534-G	2E-9	-	0.2546	-	"0.0043 unit increase"	[0.0029-0.0057]	RPL7P35,DUSP5	Height	"body height"	-	GCST90245848	10:110539913	36224396	"Yengo L"
rs17763100-G	9E-9	-	0.1213	-	"0.0055 unit decrease"	[0.0037-0.0073]	RBM20	Height	"body height"	-	GCST90245848	10:110777976	36224396	"Yengo L"
rs17128212-A	7E-25	-	0.0784	-	"0.0122 unit decrease"	[0.0098-0.0146]	SHOC2	Height	"body height"	-	GCST90245848	10:110966734	36224396	"Yengo L"
rs2792751-T	3E-79	-	0.2789	-	"0.013 unit decrease"	[0.012-0.014]	GPAM	Height	"body height"	-	GCST90245848	10:112180571	36224396	"Yengo L"
rs10787433-T	2E-38	-	0.6769	-	"0.0087 unit decrease"	[0.0073-0.0101]	GPAM,TECTB	Height	"body height"	-	GCST90245848	10:112249254	36224396	"Yengo L"
rs2277205-T	1E-38	-	0.1096	-	"0.0131 unit decrease"	[0.011-0.015]	ZDHHC6	Height	"body height"	-	GCST90245848	10:112446925	36224396	"Yengo L"
rs4439449-A	9E-23	-	0.1111	-	"0.0097 unit decrease"	[0.0077-0.0117]	VTI1A	Height	"body height"	-	GCST90245848	10:112532544	36224396	"Yengo L"
rs9645551-T	2E-49	-	0.3551	-	"0.0096 unit decrease"	[0.0084-0.0108]	VTI1A	Height	"body height"	-	GCST90245848	10:112621354	36224396	"Yengo L"
rs7094463-A	1E-87	-	0.4685	-	"0.0125 unit increase"	[0.011-0.014]	TCF7L2	Height	"body height"	-	GCST90245848	10:112952224	36224396	"Yengo L"
rs11196171-A	2E-13	-	0.7222	-	"0.0056 unit increase"	[0.004-0.0072]	TCF7L2	Height	"body height"	-	GCST90245848	10:112964714	36224396	"Yengo L"
rs6585200-G	5E-13	-	0.4406	-	"0.0046 unit increase"	[0.0034-0.0058]	TCF7L2	Height	"body height"	-	GCST90245848	10:113008850	36224396	"Yengo L"
rs11196219-A	6E-15	-	0.27	-	"0.0055 unit decrease"	[0.0041-0.0069]	TCF7L2	Height	"body height"	-	GCST90245848	10:113080880	36224396	"Yengo L"
rs11196236-C	2E-33	-	0.1997	-	"0.0095 unit decrease"	[0.0079-0.0111]	TCF7L2	Height	"body height"	-	GCST90245848	10:113127963	36224396	"Yengo L"
rs10787476-C	2E-42	-	0.0819	-	"0.0158 unit increase"	[0.013-0.018]	TCF7L2	Height	"body height"	-	GCST90245848	10:113139155	36224396	"Yengo L"
rs7900784-T	3E-8	-	0.6978	-	"0.004 unit increase"	[0.0026-0.0054]	TCF7L2,RNU7-165P	Height	"body height"	-	GCST90245848	10:113182519	36224396	"Yengo L"
rs7089082-C	6E-21	-	0.1255	-	"0.0087 unit increase"	[0.0069-0.0105]	RNU7-165P,PPIAP39	Height	"body height"	-	GCST90245848	10:113382501	36224396	"Yengo L"
rs4918827-T	4E-20	-	0.4542	-	"0.0057 unit decrease"	[0.0045-0.0069]	PPIAP39,HABP2	Height	"body height"	-	GCST90245848	10:113491530	36224396	"Yengo L"
rs11196406-T	2E-14	-	0.0871	-	"0.0085 unit decrease"	[0.0063-0.0107]	NRAP	Height	"body height"	-	GCST90245848	10:113654925	36224396	"Yengo L"
rs9376810-C	1E-15	-	0.0657	-	"0.0105 unit increase"	[0.008-0.013]	SIM1,PRDX2P4	Height	"body height"	-	GCST90245848	6:100241415	36224396	"Yengo L"
rs846798-G	3E-23	-	0.2793	-	"0.0069 unit decrease"	[0.0055-0.0083]	ASCC3,GRIK2	Height	"body height"	-	GCST90245848	6:100888006	36224396	"Yengo L"
rs270683-G	4E-12	-	0.3256	-	"0.0046 unit increase"	[0.0032-0.006]	NPM1P10,HACE1	Height	"body height"	-	GCST90245848	6:104339031	36224396	"Yengo L"
rs7759938-C	1E-300	-	0.3257	-	"0.0466 unit increase"	[0.045-0.048]	LIN28B-AS1	Height	"body height"	-	GCST90245848	6:104931079	36224396	"Yengo L"
rs314279-C	1E-300	-	0.1021	-	"0.0526 unit increase"	[0.051-0.055]	LIN28B	Height	"body height"	-	GCST90245848	6:104954208	36224396	"Yengo L"
rs9377684-G	1E-300	-	0.1918	-	"0.031 unit increase"	[0.029-0.033]	LIN28B	Height	"body height"	-	GCST90245848	6:104997489	36224396	"Yengo L"
rs221626-G	5E-8	-	0.1478	-	"0.0048 unit increase"	[0.003-0.0066]	LIN28B	Height	"body height"	-	GCST90245848	6:105058367	36224396	"Yengo L"
rs923404-G	3E-9	-	0.1302	-	"0.0055 unit increase"	[0.0037-0.0073]	POPDC3,BVES-AS1	Height	"body height"	-	GCST90245848	6:105169886	36224396	"Yengo L"
rs17054938-A	2E-9	-	0.0723	-	"0.0073 unit decrease"	[0.0049-0.0097]	PREP,BVES-AS1	Height	"body height"	-	GCST90245848	6:105261238	36224396	"Yengo L"
rs13437093-A	8E-15	-	0.3444	-	"0.0051 unit decrease"	[0.0037-0.0065]	RN7SKP211,LINC02836	Height	"body height"	-	GCST90245848	6:105874875	36224396	"Yengo L"
rs9386491-T	6E-27	-	0.2544	-	"0.0076 unit decrease"	[0.0062-0.009]	LINC02836,RN7SKP211	Height	"body height"	-	GCST90245848	6:105902850	36224396	"Yengo L"
rs11759792-A	1E-16	-	0.5439	-	"0.0052 unit decrease"	[0.004-0.0064]	PDSS2	Height	"body height"	-	GCST90245848	6:107160257	36224396	"Yengo L"
rs319107-A	2E-20	-	0.4712	-	"0.0059 unit increase"	[0.0047-0.0071]	PDSS2	Height	"body height"	-	GCST90245848	6:107433159	36224396	"Yengo L"
rs9398135-T	1E-14	-	0.0734	-	"0.0095 unit decrease"	[0.0071-0.0119]	SOBP	Height	"body height"	-	GCST90245848	6:107588281	36224396	"Yengo L"
rs9373957-A	2E-23	-	0.1357	-	"0.0091 unit increase"	[0.0073-0.0109]	SOBP	Height	"body height"	-	GCST90245848	6:107619083	36224396	"Yengo L"
rs1527873-C	3E-19	-	0.1244	-	"0.0084 unit decrease"	[0.0066-0.0102]	SOBP	Height	"body height"	-	GCST90245848	6:107626198	36224396	"Yengo L"
rs1739862-G	4E-35	-	0.2524	-	"0.0087 unit decrease"	[0.0073-0.0101]	SCML4	Height	"body height"	-	GCST90245848	6:107714258	36224396	"Yengo L"
rs12214852-A	5E-9	-	0.1728	-	"0.0049 unit increase"	[0.0033-0.0065]	SCML4	Height	"body height"	-	GCST90245848	6:107820009	36224396	"Yengo L"
rs9486860-G	2E-8	-	0.0255	-	"0.0131 unit decrease"	[0.0086-0.0176]	AFG1L	Height	"body height"	-	GCST90245848	6:108339015	36224396	"Yengo L"
rs9372187-T	3E-36	-	0.0987	-	"0.013 unit decrease"	[0.011-0.015]	AFG1L,FOXO3	Height	"body height"	-	GCST90245848	6:108554442	36224396	"Yengo L"
rs3813498-C	2E-195	-	0.2064	-	"0.0231 unit decrease"	[0.022-0.025]	FOXO3	Height	"body height"	-	GCST90245848	6:108622962	36224396	"Yengo L"
rs3800230-G	7E-38	-	0.1279	-	"0.0119 unit decrease"	[0.01-0.014]	FOXO3	Height	"body height"	-	GCST90245848	6:108676925	36224396	"Yengo L"
rs12208908-A	4E-7	-	0.2571	-	"0.0037 unit decrease"	[0.0023-0.0051]	LINC00222,FOXO3	Height	"body height"	-	GCST90245848	6:108727163	36224396	"Yengo L"
rs763092-G	7E-11	-	0.1446	-	"0.0058 unit increase"	[0.004-0.0076]	ZPR1P1,LINC00222	Height	"body height"	-	GCST90245848	6:108778909	36224396	"Yengo L"
rs1268125-T	2E-49	-	0.3218	-	"0.0098 unit increase"	[0.0084-0.0112]	ARMC2,ZPR1P1	Height	"body height"	-	GCST90245848	6:108821240	36224396	"Yengo L"
rs2603457-C	2E-6	-	0.1512	-	"0.0044 unit decrease"	[0.0026-0.0062]	RPSAP72,TENT5A	Height	"body height"	-	GCST90245848	6:80591947	36224396	"Yengo L"
rs13207647-T	1E-61	-	0.36	-	"0.0107 unit increase"	[0.0095-0.0119]	RPSAP72,TENT5A	Height	"body height"	-	GCST90245848	6:80604451	36224396	"Yengo L"
rs748215-A	5E-167	-	0.2616	-	"0.0196 unit decrease"	[0.018-0.021]	TENT5A,RPSAP72	Height	"body height"	-	GCST90245848	6:80643608	36224396	"Yengo L"
rs34570868-G	2E-143	-	0.0568	-	"0.035 unit increase"	[0.032-0.038]	TENT5A,RPSAP72	Height	"body height"	-	GCST90245848	6:80689747	36224396	"Yengo L"
rs9361645-T	1E-300	-	0.4064	-	"0.0248 unit decrease"	[0.024-0.026]	RPSAP72,TENT5A	Height	"body height"	-	GCST90245848	6:80725917	36224396	"Yengo L"
rs1075102-A	2E-292	-	0.5376	-	"0.0233 unit increase"	[0.022-0.024]	RPSAP72,TENT5A	Height	"body height"	-	GCST90245848	6:80977960	36224396	"Yengo L"
rs548365-C	3E-302	-	0.6909	-	"0.0273 unit increase"	[0.026-0.029]	RPSAP72,TENT5A	Height	"body height"	-	GCST90245848	6:81095864	36224396	"Yengo L"
rs9344126-T	1E-300	-	0.4516	-	"0.0248 unit increase"	[0.024-0.026]	TENT5A,RPSAP72	Height	"body height"	-	GCST90245848	6:81197842	36224396	"Yengo L"
rs12663931-C	1E-28	-	0.0346	-	"0.0189 unit increase"	[0.016-0.022]	TENT5A	Height	"body height"	-	GCST90245848	6:81591409	36224396	"Yengo L"
rs194937-A	2E-88	-	0.155	-	"0.0169 unit decrease"	[0.015-0.018]	TENT5A	Height	"body height"	-	GCST90245848	6:81732305	36224396	"Yengo L"
rs3828760-T	5E-156	-	0.1277	-	"0.0244 unit increase"	[0.023-0.026]	TENT5A	Height	"body height"	-	GCST90245848	6:81747267	36224396	"Yengo L"
rs12523876-T	1E-5	-	0.0656	-	"0.0065 unit decrease"	[0.0036-0.0094]	LINC02542	Height	"body height"	-	GCST90245848	6:81876645	36224396	"Yengo L"
rs4706917-C	5E-19	-	0.3352	-	"0.0059 unit increase"	[0.0045-0.0073]	LINC02542	Height	"body height"	-	GCST90245848	6:82005299	36224396	"Yengo L"
rs6933646-T	1E-17	-	0.3927	-	"0.0054 unit increase"	[0.0042-0.0066]	LINC02542	Height	"body height"	-	GCST90245848	6:82087902	36224396	"Yengo L"
rs2323952-C	2E-25	-	0.4276	-	"0.0066 unit increase"	[0.0054-0.0078]	TPBG,UBE3D	Height	"body height"	-	GCST90245848	6:82797105	36224396	"Yengo L"
rs11758364-A	1E-99	-	0.1347	-	"0.0192 unit increase"	[0.017-0.021]	UBE3D	Height	"body height"	-	GCST90245848	6:82994814	36224396	"Yengo L"
rs6902437-G	5E-56	-	0.2378	-	"0.0117 unit increase"	[0.01-0.013]	ME1,RWDD2A	Height	"body height"	-	GCST90245848	6:83199019	36224396	"Yengo L"
rs12193281-C	1E-91	-	0.3157	-	"0.0135 unit increase"	[0.012-0.015]	SNAP91	Height	"body height"	-	GCST90245848	6:83615465	36224396	"Yengo L"
rs7775532-A	3E-14	-	0.4428	-	"0.0048 unit increase"	[0.0036-0.006]	LINC01611,CEP162	Height	"body height"	-	GCST90245848	6:84349287	36224396	"Yengo L"
rs10498948-T	2E-6	-	0.088	-	"0.0051 unit increase"	[0.0029-0.0073]	TBX18-AS1,TBX18	Height	"body height"	-	GCST90245848	6:84696043	36224396	"Yengo L"
rs4320330-A	7E-118	-	0.509	-	"0.0143 unit decrease"	[0.013-0.015]	TBX18-AS1,TBX18	Height	"body height"	-	GCST90245848	6:84707317	36224396	"Yengo L"
rs9444232-A	3E-16	-	0.1374	-	"0.0074 unit increase"	[0.0056-0.0092]	RPL31P32,TBX18	Height	"body height"	-	GCST90245848	6:84784635	36224396	"Yengo L"
rs4707117-T	2E-7	-	0.5863	-	"0.0034 unit increase"	[0.0022-0.0046]	RPL31P32,TBX18	Height	"body height"	-	GCST90245848	6:85022691	36224396	"Yengo L"
rs10944077-G	5E-40	-	0.212	-	"0.0101 unit decrease"	[0.0085-0.0117]	RPL31P32,TBX18	Height	"body height"	-	GCST90245848	6:85196860	36224396	"Yengo L"
rs1173416-A	2E-59	-	0.4955	-	"0.0102 unit decrease"	[0.009-0.0114]	SMIM11P1,SNHG5	Height	"body height"	-	GCST90245848	6:85706095	36224396	"Yengo L"
rs714647-G	8E-21	-	0.3769	-	"0.0059 unit increase"	[0.0047-0.0071]	PCSK6	Height	"body height"	-	GCST90245848	15:101512431	36224396	"Yengo L"
